2022/06/11 20:21:01.859|test.ps1|[Start]
2022/06/11 20:21:01.868|test.ps1|[Finish]
2022/06/11 20:23:27.587|test.ps1|[Start]
2022/06/11 20:23:27.595|test.ps1|[Finish]
2022/06/11 20:24:49.875|test.ps1|[Start]
2022/06/11 20:24:49.901|test.ps1|[Finish]
2022/06/11 20:25:04.673|test.ps1|[Start]
2022/06/11 20:25:04.690|test.ps1|[Finish]
2022/06/11 20:25:31.689|test.ps1|[Start]
2022/06/11 20:25:31.702|test.ps1|[Finish]
2022/06/11 20:26:22.283|test.ps1|[Start]
2022/06/11 20:26:22.291|test.ps1|[Finish]
2022/06/11 20:26:26.273|test.ps1|[Start]
2022/06/11 20:26:26.283|test.ps1|[Finish]
